time, light, accx, accy, accz,
12.512, 2.08995, -0.0517992, 0.00706415, 9.73367, 
12.544, 2.0835, 0.0540293, -0.0628503, 9.7373, 
12.576, 2.07011, 0.0314045, -0.0225308, 9.89267, 
12.608, 2.08199, -0.0418096, 0.0351986, 9.74819, 
12.64, 2.06974, -0.0843074, 0.00583754, 9.76908, 
12.672, 2.05966, 0.00576827, -0.0883218, 9.77347, 
12.704, 2.0698, 0.0933316, -0.0024289, 9.8049, 
12.736, 2.04576, 0.0325457, 0.0297367, 9.78037, 
12.768, 2.06125, -0.0730952, 0.0536363, 9.80788, 
12.8, 2.05104, 0.0588755, 0.0859423, 9.8162, 
12.832, 2.03788, 0.0239547, -0.0481843, 9.81528, 
12.864, 2.02512, -0.0232963, -0.0141377, 9.85982, 
12.896, 2.0173, 0.0251919, -0.0310798, 9.7078, 
12.928, 1.99567, -0.00954164, 0.0664538, 9.83366, 
12.96, 2.0111, -0.0374717, -0.0217371, 9.82265, 
12.992, 2.00336, -0.0550023, -0.0748379, 9.79611, 
13.024, 2.00861, 0.0473017, -0.0408681, 9.8521, 
13.056, 1.97405, 0.000147267, 0.0182849, 9.82129, 
13.088, 1.98175, 0.111473, -0.00314743, 9.84627, 
13.12, 1.96733, 0.00611405, -0.0317198, 9.80795, 
13.152, 1.98068, 0.0354448, 0.0514242, 9.8546, 
13.184, 1.97558, -0.0164049, -0.0682031, 9.79277, 
13.216, 1.9698, -0.0286105, -0.0545846, 9.84917, 
13.248, 1.95436, -0.0207988, -0.0886295, 9.82806, 
13.28, 1.92292, 0.0130281, 0.0179842, 7.53491, 
13.312, 1.9263, 0.0862609, -0.0414845, 9.75424, 
13.344, 1.88719, -0.00616012, 0.029519, 9.73553, 
13.376, 1.87051, -0.0383715, -0.0239297, 9.77278, 
13.408, 1.8676, -0.0111534, 0.0702053, 9.81489, 
13.44, 1.8313, 0.0232927, -0.00723878, 9.86743, 
13.472, 1.8347, 0.052919, 0.0255396, 9.85342, 
13.504, 1.82186, 0.00998963, 0.0171175, 9.78836, 
13.536, 1.82906, -0.0150544, 0.00505155, 9.77764, 
13.568, 1.81837, -1.82474, -0.00491358, 9.77118, 
13.6, 1.81521, 0.0491006, 0.140065, 9.7826, 
13.632, 1.79095, 0.037923, 0.0331109, 9.76065, 
13.664, 1.79044, -0.0677674, 0.029011, 9.83263, 
13.696, 1.78417, -1.79626, 0.0348509, 9.76657, 
13.728, 1.77649, 0.00300399, -0.0345267, 9.86618, 
13.76, 1.77905, -1.85816, -0.0109821, 9.88057, 
13.792, 1.78193, 0.00821701, -0.00592661, 9.72376, 
13.824, 1.76145, -0.0196655, -0.119443, 9.83162, 
13.856, 1.75037, 0.00236201, -0.0544926, 9.81995, 
13.888, 1.76382, 0.00737014, -0.0261552, 9.70733, 
13.92, 1.74866, 0.0236487, -0.0174016, 9.74788, 
13.952, 1.75517, -0.153887, -0.149489, 9.88719, 
13.984, 1.743, 0.00486108, 0.212031, 9.8346, 
14.016, 1.7321, 0.0331117, 0.228954, 9.81489, 
14.048, 1.7512, -0.0451689, 0.17398, 9.79874, 
14.08, 1.74954, 0.0812925, 0.0159156, 9.79163, 
